strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
22000,75,0,53840,-1315,2026-08-31 10:28:26,24027.65
22050,0,0,2414,151,2026-08-31 10:28:26,24027.65
22100,1,0,23524,470,2026-08-31 10:28:26,24027.65
22150,0,0,2258,289,2026-08-31 10:28:26,24027.65
22200,0,0,9165,246,2026-08-31 10:28:26,24027.65
22250,0,0,2105,373,2026-08-31 10:28:26,24027.65
22300,0,0,6551,11,2026-08-31 10:28:26,24027.65
22350,0,0,3260,-45,2026-08-31 10:28:26,24027.65
22400,0,0,6178,104,2026-08-31 10:28:26,24027.65
22450,0,0,3660,1406,2026-08-31 10:28:26,24027.65
22500,170,-13,90353,-11383,2026-08-31 10:28:26,24027.65
22550,0,0,2047,-254,2026-08-31 10:28:26,24027.65
22600,0,0,7724,-1439,2026-08-31 10:28:26,24027.65
22650,0,0,3071,710,2026-08-31 10:28:26,24027.65
22700,0,0,9661,-6318,2026-08-31 10:28:26,24027.65
22750,0,0,2954,1162,2026-08-31 10:28:26,24027.65
22800,0,0,18993,6180,2026-08-31 10:28:26,24027.65
22850,0,0,2794,571,2026-08-31 10:28:26,24027.65
22900,0,0,15058,-3197,2026-08-31 10:28:26,24027.65
22950,0,0,4450,2016,2026-08-31 10:28:26,24027.65
23000,1672,-111,104726,-12155,2026-08-31 10:28:26,24027.65
23050,1,0,16331,4200,2026-08-31 10:28:26,24027.65
23100,7,1,33302,9049,2026-08-31 10:28:26,24027.65
23150,5,0,20306,1579,2026-08-31 10:28:26,24027.65
23200,84,-6,55088,6118,2026-08-31 10:28:26,24027.65
23250,4,0,13013,607,2026-08-31 10:28:26,24027.65
23300,227,134,46220,-7478,2026-08-31 10:28:26,24027.65
23350,1,0,26472,-4285,2026-08-31 10:28:26,24027.65
23400,612,7,61077,7727,2026-08-31 10:28:26,24027.65
23450,54,-4,25741,5241,2026-08-31 10:28:26,24027.65
23500,2183,103,116998,5534,2026-08-31 10:28:26,24027.65
23550,273,25,19159,-1230,2026-08-31 10:28:26,24027.65
23600,892,392,78773,9409,2026-08-31 10:28:26,24027.65
23650,419,123,43801,9332,2026-08-31 10:28:26,24027.65
23700,3300,627,114081,9895,2026-08-31 10:28:26,24027.65
23750,1527,1016,65761,26281,2026-08-31 10:28:26,24027.65
23800,11028,7709,153166,38918,2026-08-31 10:28:26,24027.65
23850,5188,4080,85223,33959,2026-08-31 10:28:26,24027.65
23900,28870,23907,163460,59902,2026-08-31 10:28:26,24027.65
23950,30298,28379,116086,66767,2026-08-31 10:28:26,24027.65
24000,239586,218309,309773,151896,2026-08-31 10:28:26,24027.65
24050,280758,270880,177490,116177,2026-08-31 10:28:26,24027.65
24100,371966,297241,154617,2059,2026-08-31 10:28:26,24027.65
24150,199621,129680,67682,-25728,2026-08-31 10:28:26,24027.65
24200,298502,158656,104155,-18599,2026-08-31 10:28:26,24027.65
24250,149131,58664,32713,-7468,2026-08-31 10:28:26,24027.65
24300,257971,56761,47508,-8020,2026-08-31 10:28:26,24027.65
24350,172325,48282,18293,-2649,2026-08-31 10:28:26,24027.65
24400,214382,53127,23334,-3135,2026-08-31 10:28:26,24027.65
24450,98852,12144,6559,-600,2026-08-31 10:28:26,24027.65
24500,244272,46402,26580,3,2026-08-31 10:28:26,24027.65
24550,101806,22221,2077,-32,2026-08-31 10:28:26,24027.65
24600,144854,18505,6214,-536,2026-08-31 10:28:26,24027.65
24650,66217,16441,1419,-138,2026-08-31 10:28:26,24027.65
24700,133170,16262,3647,-79,2026-08-31 10:28:26,24027.65
24750,59453,-10013,1066,17,2026-08-31 10:28:26,24027.65
24800,131862,10997,1850,-66,2026-08-31 10:28:26,24027.65
24850,44718,6900,545,-5,2026-08-31 10:28:26,24027.65
24900,88943,5954,710,-17,2026-08-31 10:28:26,24027.65
24950,30833,1136,340,3,2026-08-31 10:28:26,24027.65
25000,175067,13409,5229,-29,2026-08-31 10:28:26,24027.65
25050,41229,16336,127,0,2026-08-31 10:28:26,24027.65
25100,87613,9145,686,-1,2026-08-31 10:28:26,24027.65
25150,19807,1905,73,0,2026-08-31 10:28:26,24027.65
25200,82941,6135,590,-2,2026-08-31 10:28:26,24027.65
25250,18675,4151,22,0,2026-08-31 10:28:26,24027.65
25300,60532,-2036,314,-1,2026-08-31 10:28:26,24027.65
25350,14955,1890,45,0,2026-08-31 10:28:26,24027.65
25400,46804,-1991,452,-96,2026-08-31 10:28:26,24027.65
25450,10901,1,12,0,2026-08-31 10:28:26,24027.65
25500,135435,-14686,3527,-144,2026-08-31 10:28:26,24027.65
25550,13398,-291,9,0,2026-08-31 10:28:26,24027.65
