strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
15000,0,0,1872,192,2026-09-26 10:48:42,23140.5
16500,0,0,2380,126,2026-09-26 10:48:42,23140.5
18000,12,0,12184,-677,2026-09-26 10:48:42,23140.5
19500,1502,-200,12971,-3012,2026-09-26 10:48:42,23140.5
20800,0,0,6171,6171,2026-09-26 10:48:42,23140.5
20850,0,0,409,399,2026-09-26 10:48:42,23140.5
20900,0,0,1548,1548,2026-09-26 10:48:42,23140.5
20950,0,0,414,414,2026-09-26 10:48:42,23140.5
21000,4872,-1355,147444,-22606,2026-09-26 10:48:42,23140.5
21050,0,0,473,473,2026-09-26 10:48:42,23140.5
21100,0,0,5946,5945,2026-09-26 10:48:42,23140.5
21150,0,0,1148,1118,2026-09-26 10:48:42,23140.5
21200,0,0,2453,2168,2026-09-26 10:48:42,23140.5
21250,0,0,1121,1121,2026-09-26 10:48:42,23140.5
21300,0,0,1998,1187,2026-09-26 10:48:42,23140.5
21350,0,0,28157,-9517,2026-09-26 10:48:42,23140.5
21400,1,0,41677,827,2026-09-26 10:48:42,23140.5
21450,0,0,3499,-341,2026-09-26 10:48:42,23140.5
21500,1,0,61445,-4666,2026-09-26 10:48:42,23140.5
21550,0,0,4571,763,2026-09-26 10:48:42,23140.5
21600,582,-62,17257,-1189,2026-09-26 10:48:42,23140.5
21650,1,0,5293,401,2026-09-26 10:48:42,23140.5
21700,0,0,26462,2957,2026-09-26 10:48:42,23140.5
21750,1,0,10522,5142,2026-09-26 10:48:42,23140.5
21800,1,0,47389,11844,2026-09-26 10:48:42,23140.5
21850,1,0,13126,9182,2026-09-26 10:48:42,23140.5
21900,10,0,26853,11362,2026-09-26 10:48:42,23140.5
21950,2,0,9877,2638,2026-09-26 10:48:42,23140.5
22000,7997,-1767,201855,15199,2026-09-26 10:48:42,23140.5
22050,10,9,7568,-653,2026-09-26 10:48:42,23140.5
22100,24,0,32704,15713,2026-09-26 10:48:42,23140.5
22150,62,0,8130,3109,2026-09-26 10:48:42,23140.5
22200,76,-43,64023,10335,2026-09-26 10:48:42,23140.5
22250,6,-19,16082,6007,2026-09-26 10:48:42,23140.5
22300,60,33,58473,8342,2026-09-26 10:48:42,23140.5
22350,33,0,19701,2361,2026-09-26 10:48:42,23140.5
22400,153,64,63960,15187,2026-09-26 10:48:42,23140.5
22450,306,150,29167,9414,2026-09-26 10:48:42,23140.5
22500,8491,-1640,160880,24158,2026-09-26 10:48:42,23140.5
22550,287,179,32446,12158,2026-09-26 10:48:42,23140.5
22600,895,-18,75365,22601,2026-09-26 10:48:42,23140.5
22650,723,7,44545,10455,2026-09-26 10:48:42,23140.5
22700,1934,772,101127,30351,2026-09-26 10:48:42,23140.5
22750,937,82,56029,23444,2026-09-26 10:48:42,23140.5
22800,6375,394,138127,28040,2026-09-26 10:48:42,23140.5
22850,1577,-15,67167,22797,2026-09-26 10:48:42,23140.5
22900,6972,1179,99807,13059,2026-09-26 10:48:42,23140.5
22950,6181,2074,50943,14763,2026-09-26 10:48:42,23140.5
23000,50441,-9343,222071,41186,2026-09-26 10:48:42,23140.5
