strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
22000,74,-1,39409,-15746,2026-09-01 00:22:43,24080.4
22050,0,0,2379,116,2026-09-01 00:22:43,24080.4
22100,1,0,22414,-640,2026-09-01 00:22:43,24080.4
22150,0,0,1192,-777,2026-09-01 00:22:43,24080.4
22200,0,0,3436,-5483,2026-09-01 00:22:43,24080.4
22250,0,0,2409,677,2026-09-01 00:22:43,24080.4
22300,0,0,5577,-963,2026-09-01 00:22:43,24080.4
22350,0,0,2989,-316,2026-09-01 00:22:43,24080.4
22400,0,0,6087,13,2026-09-01 00:22:43,24080.4
22450,0,0,3223,969,2026-09-01 00:22:43,24080.4
22500,124,-59,62840,-38896,2026-09-01 00:22:43,24080.4
22550,0,0,2075,-226,2026-09-01 00:22:43,24080.4
22600,0,0,5769,-3394,2026-09-01 00:22:43,24080.4
22650,0,0,2428,67,2026-09-01 00:22:43,24080.4
22700,0,0,7978,-8001,2026-09-01 00:22:43,24080.4
22750,0,0,2323,531,2026-09-01 00:22:43,24080.4
22800,0,0,27689,14876,2026-09-01 00:22:43,24080.4
22850,0,0,3345,1122,2026-09-01 00:22:43,24080.4
22900,0,0,12145,-6110,2026-09-01 00:22:43,24080.4
22950,0,0,4393,1959,2026-09-01 00:22:43,24080.4
23000,1449,-334,113352,-3529,2026-09-01 00:22:43,24080.4
23050,2,1,12492,361,2026-09-01 00:22:43,24080.4
23100,6,0,30828,6575,2026-09-01 00:22:43,24080.4
23150,8,3,16225,-2502,2026-09-01 00:22:43,24080.4
23200,85,-5,53306,4336,2026-09-01 00:22:43,24080.4
23250,4,0,19093,6687,2026-09-01 00:22:43,24080.4
23300,114,21,58273,4575,2026-09-01 00:22:43,24080.4
23350,1,0,28615,-2142,2026-09-01 00:22:43,24080.4
23400,609,4,56582,3232,2026-09-01 00:22:43,24080.4
23450,54,-4,29509,9009,2026-09-01 00:22:43,24080.4
23500,1719,-361,104459,-7005,2026-09-01 00:22:43,24080.4
23550,350,102,29499,9110,2026-09-01 00:22:43,24080.4
23600,568,68,88246,18882,2026-09-01 00:22:43,24080.4
23650,311,15,52924,18455,2026-09-01 00:22:43,24080.4
23700,1382,-1291,131197,27011,2026-09-01 00:22:43,24080.4
23750,788,277,88920,49440,2026-09-01 00:22:43,24080.4
23800,3726,407,144304,30056,2026-09-01 00:22:43,24080.4
23850,2030,922,84419,33155,2026-09-01 00:22:43,24080.4
23900,7722,2759,139435,35877,2026-09-01 00:22:43,24080.4
23950,7623,5704,99515,50196,2026-09-01 00:22:43,24080.4
24000,65170,43893,246529,88652,2026-09-01 00:22:43,24080.4
24050,67115,57237,131067,69754,2026-09-01 00:22:43,24080.4
24100,153777,79052,156618,4060,2026-09-01 00:22:43,24080.4
24150,106621,36680,65047,-28363,2026-09-01 00:22:43,24080.4
24200,193831,53985,86424,-36330,2026-09-01 00:22:43,24080.4
24250,122342,31875,22113,-18068,2026-09-01 00:22:43,24080.4
24300,224201,22991,39126,-16402,2026-09-01 00:22:43,24080.4
24350,142737,18694,10288,-10654,2026-09-01 00:22:43,24080.4
24400,196560,35305,17809,-8660,2026-09-01 00:22:43,24080.4
24450,99890,13182,4194,-2965,2026-09-01 00:22:43,24080.4
24500,261562,63692,20772,-5805,2026-09-01 00:22:43,24080.4
24550,85199,5614,1685,-424,2026-09-01 00:22:43,24080.4
24600,133383,7034,4402,-2348,2026-09-01 00:22:43,24080.4
24650,51579,1803,1181,-376,2026-09-01 00:22:43,24080.4
24700,105126,-11782,2973,-753,2026-09-01 00:22:43,24080.4
24750,42677,-26789,1005,-44,2026-09-01 00:22:43,24080.4
24800,125655,4790,1536,-380,2026-09-01 00:22:43,24080.4
24850,34691,-3127,546,-4,2026-09-01 00:22:43,24080.4
24900,64649,-18340,682,-45,2026-09-01 00:22:43,24080.4
24950,19363,-10334,334,-3,2026-09-01 00:22:43,24080.4
25000,169982,8324,3822,-1436,2026-09-01 00:22:43,24080.4
25050,29070,4177,117,-10,2026-09-01 00:22:43,24080.4
